1313    2   47 BGO
1314    2   49 BGO
1315    1   41 GE
1316    1   43 GE
1317    1   45 GE
1318    1   47 GE
1319    1   49 GE
1320    3   41 SIDE
1321    3   43 SIDE
1322    3   45 SIDE
1323    3   47 SIDE
1324    3   49 SIDE
1325    4   41 AUX
1326    4   43 AUX
1327    4   45 AUX
1328    4   47 AUX
1329    4   49 AUX
1330    2   51 BGO
1331    2   53 BGO
1332    2   55 BGO
1333    2   57 BGO
1334    2   59 BGO
1335    1   51 GE
1336    1   53 GE
1337    1   55 GE
1338    1   57 GE
1339    1   59 GE
1340    3   51 SIDE
1341    3   53 SIDE
1342    3   55 SIDE
1343    3   57 SIDE
1344    3   59 SIDE
1345    4   51 AUX
1346    4   53 AUX
1347    4   55 AUX
1348    4   57 AUX
1349    4   59 AUX
1350    2   61 BGO
1351    2   63 BGO
1352    2   65 BGO
1353    2   67 BGO
1354    2   69 BGO
1355    1   61 GE
1356    1   63 GE
1357    1   65 GE
1358    1   67 GE
1359    1   69 GE
1360    3   61 SIDE
1361    3   63 SIDE
1362    3   65 SIDE
1363    3   67 SIDE
1364    3   69 SIDE
1365    4   61 AUX
1366    4   63 AUX
1367    4   65 AUX
1368    4   67 AUX
1369    4   69 AUX
1370    2   71 BGO
1371    2   73 BGO
1372    2   75 BGO
1373    2   77 BGO
1374    2   79 BGO
1375    1   71 GE
1376    1   73 GE
1377    1   75 GE
1378    1   77 GE
1379    1   79 GE
1380    3   71 SIDE
1381    3   73 SIDE
1382    3   75 SIDE
1383    3   77 SIDE
1384    3   79 SIDE
1385    4   71 AUX
1386    4   73 AUX
1387    4   75 AUX
1388    4   77 AUX
1389    4   79 AUX
1390    2   81 BGO
1391    2   83 BGO
1392    2   85 BGO
1393    2   87 BGO
1394    2   89 BGO
1395    1   81 GE
1396    1   83 GE
1397    1   85 GE
1398    1   87 GE
1399    1   89 GE
1400    3   81 SIDE
1401    3   83 SIDE
1402    3   85 SIDE
1403    3   87 SIDE
1404    3   89 SIDE
1405    4   81 AUX
1406    4   83 AUX
1407    4   85 AUX
1408    4   87 AUX
1409    4   89 AUX
1410    2   91 BGO
1411    2   93 BGO
1412    2   95 BGO
1413    2   97 BGO
1414    2   99 BGO
1415    1   91 GE
1416    1   93 GE
1417    1   95 GE
1418    1   97 GE
1419    1   99 GE
1420    3   91 SIDE
1421    3   93 SIDE
1422    3   95 SIDE
1423    3   97 SIDE
1424    3   99 SIDE
1425    4   91 AUX
1426    4   93 AUX
1427    4   95 AUX
1428    4   97 AUX
1429    4   99 AUX
1430    2  101 BGO
1431    2  103 BGO
1432    2  105 BGO
1433    2  107 BGO
1434    2  109 BGO
1435    1  101 GE
1436    1  103 GE
1437    1  105 GE
1438    1  107 GE
1439    1  109 GE
1440    3  101 SIDE
1441    3  103 SIDE
1442    3  105 SIDE
1443    3  107 SIDE
1444    3  109 SIDE
1445    4  101 AUX
1446    4  103 AUX
1447    4  105 AUX
1448    4  107 AUX
1449    4  109 AUX
